,problem,f_val_opt,f_evals,comp_budget,success_crit_x,success_crit_f,6,7,8
22,Markowitz,0.005283056270135996,20,20,0.008506207819715061,9.867910494964355e-07,0.4359175037955657,0.37410620781971504,0.18997628838471933
23,Markowitz,0.005282411658813808,20,20,0.003920096720964772,3.4217972730808677e-07,0.4371799032790352,0.3664206768514006,0.19639941986956413
24,Markowitz,0.005284673394811218,20,20,0.010668188738727963,2.6039157247177355e-06,0.4372147348884832,0.35881707637278876,0.20396818873872796
25,Markowitz,0.005291324847059446,20,20,0.020901152285392743,9.255367972946064e-06,0.42019884771460725,0.37021373734691937,0.20958741493847333
26,Markowitz,0.0052822253136039525,20,20,0.0034122530659583816,1.5583451745248417e-07,0.43867134950852127,0.36901225306595836,0.1923163974255203
27,Markowitz,0.005286731663401565,20,20,0.017467358590588844,4.662184315064842e-06,0.43392552729118417,0.3830673585905888,0.183007114118227
28,Markowitz,0.005333954025821453,20,20,0.05832705410810929,5.1884546734952755e-05,0.3827729458918907,0.4117485080432955,0.205478546064814
29,Markowitz,0.005290659744862584,20,20,0.022122835629178994,8.590265776083593e-06,0.463222835629179,0.3571398194487204,0.1796373449221008
30,Markowitz,0.005282350451145218,20,20,0.0034279683456981958,2.809720587183123e-07,0.43978230971616844,0.3634897219381331,0.1967279683456982
31,Markowitz,0.005283033778707683,20,20,0.0073770718363894705,9.642996211828986e-07,0.44847707183638946,0.36297033373055204,0.1885525944330586
32,Markowitz,0.00528322918743457,20,20,0.006953247793380829,1.1597083480700127e-06,0.4396457842069433,0.36010096799967645,0.20025324779338083
33,Markowitz,0.005286000037920182,20,20,0.01525713021795655,3.930558833681666e-06,0.4462375436952994,0.35034286978204343,0.2034195865226573
34,Markowitz,0.005282963913795082,20,20,0.0064454281975465655,8.944347085820467e-07,0.44439840822042237,0.368747019977124,0.18685457180245343
35,Markowitz,0.005282629253114822,20,20,0.005823829590100971,5.597740283221422e-07,0.44692382959010096,0.36309060272903704,0.189985567680862
36,Markowitz,0.005292753474217792,20,20,0.02660395797913989,1.0683995131291653e-05,0.4144960420208601,0.38503531236052235,0.20046864561861774
37,Markowitz,0.005282200543963186,20,20,0.0029886246450277487,1.3106487668605726e-07,0.44408862464502774,0.36358443222733255,0.19232694312763973
38,Markowitz,0.005285426972787257,20,20,0.014734544038666864,3.3574937007571984e-06,0.4474597914639732,0.3508654559613331,0.20167475257469353
39,Markowitz,0.005282524923314888,20,20,0.005537455929289559,4.554442283883492e-07,0.44663745592928955,0.36178578916291876,0.19157675490779136
40,Markowitz,0.005292763592000975,20,20,0.021233581751864405,1.0694112914474974e-05,0.442427502451341,0.3443664182481356,0.21320607930052346
41,Markowitz,0.005282929549625011,20,20,0.007266616519529312,8.600705385108931e-07,0.43874661810717425,0.3728666165195293,0.1883867653732965
42,Markowitz,0.005282078382990629,20,20,0.0005717556307076044,8.90390412875558e-09,0.44122301073499365,0.3650282443692924,0.1937487448957141
43,Markowitz,0.0052823320556816,20,20,0.0033238796855721287,2.625765950997963e-07,0.4414411053848602,0.36227612031442785,0.19628277430071162
44,Markowitz,0.005283056940660952,20,20,0.006804828178916589,9.874615744523071e-07,0.4479048281789166,0.36433718398963527,0.1877579878314481
